Foundation_rank,HeatingQC_rank,ExterQual_rank,CentralAir_rank,PavedDrive_rank,HouseStyle_rank,Exterior2nd_rank,Neighborhood_rank,KitchenAbvGr,EnclosedPorch,ExterCond_rank,Exterior1st_rank,MSZoning_rank,KitchenQual_rank,BldgType_rank,Functional_rank,Heating_rank,MSSubClass,OverallCond,Condition1_rank,Street_rank,YrSold,LowQualFinSF,MiscVal,BsmtHalfBath,Utilities_rank,BsmtFinSF2,Condition2_rank,RoofMatl_rank,3SsnPorch,MoSold,LandSlope_rank,SaleType_rank,LandContour_rank,PoolArea,LotConfig_rank,ScreenPorch,SaleCondition_rank,RoofStyle_rank,BedroomAbvGr,BsmtUnfSF,BsmtFullBath,LotArea,LotShape_rank,HalfBath,OpenPorchSF,2ndFlrSF,WoodDeckSF,BsmtFinSF1,Fireplaces,YearRemodAdd,YearBuilt,TotRmsAbvGrd,FullBath,1stFlrSF,TotalBsmtSF,GarageArea,GarageCars,GrLivArea,OverallQual
1,1,2,1,2,4,6,14,1,205,1,3,2,1,1,1,1,45,7,1,1,2007,0,0,0,1,0,1,1,0,6,1,1,2,0,1,0,1,1,3,637,0,7449,1,0,0,0,0,0,1,1950,1930,6,1,1108,637,280,1,1108,7
1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,20,5,1,1,2008,0,0,0,1,0,1,1,0,9,1,1,1,0,1,0,1,2,3,1777,0,9742,1,0,159,0,171,0,1,2002,2002,7,2,1795,1777,534,2,1795,8
1,3,2,1,1,2,7,15,1,0,1,7,2,2,4,1,1,120,7,1,1,2007,0,0,0,1,0,1,1,0,6,1,1,1,0,1,0,1,1,3,200,1,4224,1,0,110,0,100,840,1,1976,1976,6,1,1060,1040,572,2,1060,5
2,1,2,1,1,2,5,10,1,0,2,8,1,1,1,1,1,20,8,1,1,2010,0,0,0,1,668,1,1,0,5,1,1,1,0,1,0,1,1,3,204,1,8246,2,0,90,0,406,188,1,2001,1968,6,1,1060,1060,270,1,1060,5
1,1,1,1,1,2,1,11,1,0,1,1,1,1,1,1,1,20,5,1,1,2009,0,0,0,1,0,1,1,0,7,1,1,1,0,3,0,1,1,3,1566,0,14230,1,0,56,0,0,0,1,2007,2007,7,2,1600,1566,890,3,1600,8
2,3,2,1,1,2,6,12,1,0,1,3,1,1,1,1,1,20,7,1,1,2010,0,0,1,1,486,1,1,0,5,1,1,1,0,3,0,1,1,3,180,0,7200,1,0,32,0,222,234,0,2000,1951,5,1,900,900,576,2,900,5
1,1,1,1,1,2,1,11,1,0,1,1,1,1,1,1,1,20,5,1,1,2010,0,0,0,1,0,1,1,0,5,1,1,1,0,1,0,1,1,3,486,1,11478,1,0,50,0,0,1218,1,2008,2007,7,2,1704,1704,772,3,1704,8
2,3,2,1,1,2,2,12,1,0,1,2,1,2,1,1,1,20,6,1,1,2006,0,0,0,1,0,1,1,0,12,1,1,1,0,4,0,1,1,2,207,1,16321,2,0,258,0,288,1277,2,1997,1957,6,1,1600,1484,319,1,1600,5
3,4,2,2,1,2,2,9,1,87,1,2,2,4,1,1,1,30,6,2,1,2008,0,0,0,1,0,3,1,0,5,1,1,1,0,1,0,1,1,1,520,0,6324,2,0,0,0,49,0,0,1950,1927,4,1,520,520,240,1,520,4
3,3,2,2,2,1,8,14,1,172,3,5,3,2,1,1,1,70,4,2,1,2008,0,0,0,1,0,1,1,0,7,1,1,1,0,1,0,1,3,3,649,0,8500,1,0,54,668,0,0,0,1950,1920,6,1,649,649,250,1,1317,4
2,2,2,1,1,2,4,10,1,0,1,4,1,1,1,1,1,20,6,1,1,2008,0,0,0,1,0,1,1,0,6,1,1,1,0,4,0,1,1,3,1228,0,8544,2,1,65,0,0,0,0,2006,1966,6,1,1228,1228,271,1,1228,5
1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,20,5,1,1,2008,0,0,0,1,0,1,1,0,1,1,1,1,0,3,0,1,1,3,1234,0,11049,1,0,30,0,0,0,0,2007,2007,7,2,1234,1234,484,2,1234,8
2,2,2,1,1,2,8,12,1,0,1,5,1,1,1,1,1,20,5,1,1,2010,0,0,1,1,0,1,1,0,4,1,1,1,0,1,0,1,2,4,380,0,10552,2,1,38,0,0,1018,1,1959,1959,6,1,1700,1398,447,2,1700,5
1,1,3,1,1,2,2,11,1,0,1,2,1,3,4,1,1,120,5,1,1,2007,0,0,0,1,0,1,1,0,8,1,1,1,0,1,0,1,2,2,408,1,7313,1,0,47,0,203,1153,1,2005,2005,6,2,1561,1561,556,2,1561,9
1,1,1,1,1,1,1,11,1,0,1,1,1,1,1,1,1,60,5,1,1,2006,0,0,0,1,0,1,1,0,9,1,1,1,0,1,0,1,1,4,1117,0,13418,1,1,32,1320,113,0,1,2005,2004,9,3,1132,1117,691,3,2452,8
1,1,2,1,1,2,1,1,1,0,1,1,1,2,1,1,1,20,5,1,1,2009,0,0,0,1,0,1,1,0,6,1,1,1,0,3,0,1,1,3,1097,0,10859,1,1,64,0,392,0,0,1995,1994,6,1,1097,1097,672,2,1097,5
2,2,2,1,1,2,6,12,1,0,1,3,1,2,1,1,1,20,6,1,1,2009,0,0,1,1,0,1,1,0,10,1,1,1,0,1,0,1,2,3,84,0,8532,1,0,0,0,0,1213,1,1990,1954,5,1,1297,1297,498,2,1297,5
2,3,2,1,1,2,1,12,1,0,2,1,1,1,1,1,1,20,7,1,1,2010,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,2,1,3,326,1,7922,1,0,52,0,0,731,0,2007,1953,5,1,1057,1057,246,1,1057,5
1,3,2,2,2,2,5,16,2,0,1,9,1,4,3,1,1,90,5,1,1,2008,0,0,0,1,0,1,1,0,6,1,1,1,0,1,0,4,1,2,0,0,6040,1,0,0,0,0,0,0,1955,1955,6,2,1152,0,0,0,1152,4
2,1,2,1,1,2,6,12,1,0,1,3,1,2,1,1,1,20,5,1,1,2006,0,0,0,1,0,1,1,0,12,1,1,1,0,1,0,2,1,3,445,0,8658,1,0,138,0,0,643,1,1965,1965,6,2,1324,1088,440,2,1324,6
2,2,2,1,3,2,1,17,1,0,2,1,1,2,1,1,1,20,6,1,1,2007,0,0,1,1,0,1,1,0,7,1,1,1,0,1,0,1,1,2,383,0,16905,1,1,104,0,0,967,2,1959,1959,5,1,1328,1350,308,1,1328,5
2,2,2,1,1,5,4,13,1,0,1,4,1,1,1,1,1,85,7,1,1,2007,0,0,0,1,93,1,1,0,12,1,1,1,0,4,0,1,1,2,0,1,9180,2,0,0,0,240,747,0,1983,1983,5,1,884,840,504,2,884,5
2,3,2,1,1,2,1,1,1,0,1,1,1,2,1,1,1,20,6,1,1,2008,0,0,0,1,491,1,1,0,7,1,1,1,0,4,0,1,2,3,167,1,9200,2,0,0,0,145,280,0,1980,1975,5,1,938,938,308,1,938,5
2,1,2,1,1,2,6,12,1,0,1,5,1,2,1,1,1,20,6,1,1,2006,0,0,0,1,506,1,1,0,5,1,1,1,0,1,0,1,1,3,465,1,7945,1,0,0,0,0,179,0,1959,1959,6,1,1150,1150,300,1,1150,5
1,1,3,1,1,2,2,11,1,0,1,2,1,3,4,1,1,120,5,1,1,2010,0,0,0,1,0,1,1,0,2,1,1,1,0,1,0,1,2,2,1296,1,7658,1,0,82,0,196,456,1,2005,2005,6,2,1752,1752,576,2,1752,9
1,1,1,1,1,3,1,5,1,0,1,1,1,1,1,1,1,50,5,1,1,2009,0,0,0,1,0,1,1,0,8,1,1,1,0,4,198,2,1,1,83,1,12822,2,1,43,631,168,1351,1,2003,2003,6,1,1518,1434,670,2,2149,7
1,1,1,1,1,2,1,6,1,0,1,1,4,1,1,1,1,20,5,1,1,2007,0,0,0,1,0,1,1,0,7,1,1,1,0,1,0,1,1,3,1632,0,11096,1,0,146,0,0,24,0,2006,2006,7,2,1656,1656,826,3,1656,8
3,2,2,1,2,1,2,8,3,102,1,2,2,2,2,1,1,190,5,1,1,2009,0,0,0,1,0,1,1,0,6,1,2,1,0,1,0,3,1,2,736,0,4456,1,0,0,716,0,0,0,2008,1920,8,2,736,736,0,0,1452,4
2,1,2,1,1,2,4,10,1,0,1,4,1,2,1,1,1,20,7,1,1,2007,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,3,192,1,7742,1,0,0,0,0,763,0,1966,1966,6,1,955,955,386,1,955,5
1,2,2,1,1,1,1,18,1,0,1,1,1,2,1,1,1,60,6,1,1,2007,0,0,1,1,0,1,1,0,7,1,1,1,0,3,0,1,1,3,612,0,13869,3,0,75,676,0,182,0,1997,1997,6,2,794,794,388,2,1470,6
1,3,2,1,1,3,6,9,1,0,1,3,2,2,1,1,1,50,6,1,1,2006,360,400,0,1,0,1,1,0,9,1,1,1,0,1,0,1,1,3,816,0,6240,1,0,0,0,112,0,1,1950,1934,6,1,816,816,528,2,1176,6
2,3,4,2,1,2,6,14,1,0,1,3,2,2,3,1,1,90,5,6,2,2010,0,0,0,1,712,1,1,0,5,2,1,2,0,3,0,1,1,2,0,1,8472,3,0,0,0,106,104,0,1963,1963,5,1,816,816,516,2,816,5
2,2,1,1,1,2,3,2,1,0,1,6,1,1,1,1,1,20,5,1,1,2006,0,0,0,1,0,1,2,0,11,1,1,3,0,1,0,1,1,0,32,2,50271,2,1,72,0,857,1810,1,1987,1981,5,0,1842,1842,894,3,1842,9
2,3,2,1,1,6,2,12,1,0,1,2,1,2,1,2,1,80,5,1,1,2007,0,0,0,1,0,1,1,0,2,2,1,2,0,1,0,1,1,3,0,0,7134,1,0,50,0,0,384,1,1955,1955,6,1,1360,384,572,2,1360,5
2,2,2,1,1,2,5,12,1,0,1,4,1,2,1,1,1,20,5,1,1,2008,0,0,0,1,0,1,1,407,7,1,1,1,0,1,0,1,1,3,935,0,10175,2,0,0,0,0,490,1,1964,1964,7,2,1425,1425,576,2,1425,6
1,1,1,1,1,1,2,6,1,0,1,2,4,1,5,1,1,160,5,1,1,2009,0,0,0,1,0,1,1,0,8,1,1,1,0,1,0,2,1,3,321,1,2645,1,1,0,756,115,649,0,2000,1999,7,2,983,970,480,2,1739,8
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,60,5,1,1,2006,0,0,0,1,0,1,1,0,8,1,1,1,0,3,0,1,1,3,860,0,11645,2,1,70,860,0,0,0,2004,2004,7,2,860,860,565,2,1720,7
1,1,3,1,1,1,1,19,1,37,1,1,1,1,1,1,1,60,5,1,1,2006,0,0,0,1,0,1,1,0,10,1,2,4,0,4,0,3,2,3,1410,0,13682,3,1,0,1519,192,0,1,2006,2006,10,3,1426,1410,641,3,2945,10
2,1,2,1,1,2,4,1,1,0,1,4,1,2,1,1,1,20,7,1,1,2008,0,0,0,1,0,1,1,0,1,1,1,2,0,1,0,1,1,2,148,0,7200,1,0,0,0,196,632,0,1972,1972,4,1,780,780,352,1,780,5
1,1,2,1,1,2,1,13,1,0,1,1,1,1,1,1,1,20,5,5,1,2006,0,0,0,1,0,1,1,0,5,1,2,1,0,1,0,3,1,3,217,1,13072,1,1,50,0,0,941,0,2004,2004,5,1,1158,1158,576,2,1158,6
3,3,2,2,2,7,2,14,1,144,1,2,2,4,1,1,1,75,7,1,1,2007,0,0,0,1,0,1,1,0,3,1,1,1,0,1,0,1,1,3,530,0,7200,1,0,0,530,0,0,0,1996,1920,6,1,581,530,288,1,1111,5
1,1,1,1,1,2,1,11,1,0,1,1,1,1,4,1,1,120,5,1,1,2007,0,0,0,1,0,1,1,0,10,1,1,1,0,1,0,1,1,2,1346,0,6442,2,0,49,0,120,24,1,2006,2006,6,2,1370,1370,484,2,1370,8
3,2,2,1,1,1,9,8,1,64,1,10,2,2,1,1,1,70,6,7,1,2010,0,0,0,1,0,4,1,0,4,1,1,2,0,1,0,1,1,3,576,0,10300,2,0,11,808,12,0,0,1950,1921,9,2,902,576,480,2,1710,7
1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,60,5,1,1,2009,0,0,0,1,0,1,1,0,2,1,1,1,0,1,0,1,1,3,318,1,9375,1,1,36,977,576,739,0,1998,1997,8,2,1057,1057,645,2,2034,7
1,1,1,1,1,1,1,11,1,0,1,1,1,1,1,1,1,60,5,1,1,2007,0,0,0,1,0,1,1,0,10,1,1,1,0,1,0,1,1,4,1143,0,9591,1,1,151,1330,192,0,1,2005,2004,9,2,1143,1143,852,3,2473,8
2,3,2,1,1,2,5,12,1,0,1,8,1,2,1,2,1,20,5,8,1,2010,0,0,0,1,0,1,1,0,7,1,1,1,0,1,0,1,1,3,1035,1,19900,1,0,0,0,301,912,1,1989,1970,7,2,2207,1947,576,2,2207,7
1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,20,5,1,1,2007,0,0,0,1,0,1,1,0,6,1,1,1,0,1,0,1,1,3,440,1,10665,2,0,29,0,144,1013,0,2003,2003,7,2,1479,1453,558,2,1479,7
2,3,2,1,1,2,2,8,1,0,2,2,2,2,1,1,1,30,6,4,1,2010,0,0,0,1,0,1,1,0,6,1,1,1,0,3,0,1,1,2,747,0,4608,1,0,0,0,0,0,0,1950,1945,4,1,747,747,220,1,747,4
2,3,1,1,1,3,10,20,1,114,1,5,1,2,1,1,2,50,4,1,1,2006,0,0,0,1,0,1,1,0,7,1,1,1,0,3,0,1,1,3,701,0,15593,1,0,21,983,0,603,1,1953,1953,7,2,1304,1304,667,2,2287,7
2,1,2,1,1,2,5,12,1,0,2,8,1,2,1,1,1,20,6,1,1,2007,0,0,0,1,0,1,1,0,2,1,1,1,0,1,0,1,1,3,343,1,13651,2,0,0,0,300,1880,2,1973,1973,8,2,2223,2223,516,2,2223,7
2,3,2,1,1,2,5,5,1,0,1,4,1,2,1,1,1,20,6,1,1,2007,0,0,0,1,0,1,1,0,6,1,1,1,0,3,0,1,1,2,280,1,7599,1,0,0,0,0,565,0,2006,1982,4,1,845,845,360,2,845,4
1,2,2,1,1,1,1,18,1,0,1,1,1,2,1,1,1,60,5,1,1,2009,0,0,0,1,0,1,1,0,12,1,1,1,0,3,291,1,1,3,832,0,10141,2,1,94,833,0,0,1,1998,1998,7,2,885,832,427,2,1718,7
2,2,2,1,1,2,6,12,1,0,1,3,1,2,1,1,1,20,7,1,1,2010,0,0,0,1,362,1,1,0,5,1,1,1,0,1,0,1,1,3,404,1,10200,1,0,0,0,0,320,0,2003,1954,6,1,1086,1086,490,2,1086,5
2,2,1,2,1,1,1,8,2,202,2,1,2,2,1,1,1,50,6,1,1,2010,0,0,0,1,0,1,1,0,5,1,1,1,0,3,0,1,3,3,840,0,5790,1,0,0,765,0,0,0,1950,1915,8,2,840,840,379,1,1605,3
2,3,2,1,1,6,7,15,1,0,1,7,2,2,5,1,1,180,5,1,1,2009,0,0,0,1,0,1,1,0,11,1,1,1,0,1,0,1,1,2,0,1,1596,1,0,101,462,120,462,0,1973,1973,5,1,526,462,297,1,988,4
2,1,2,1,1,2,1,12,1,0,1,1,1,2,1,1,1,20,7,1,1,2008,0,0,0,1,0,1,1,0,4,1,1,1,0,1,0,1,1,2,724,0,8475,2,0,0,0,0,228,0,1956,1956,4,1,952,952,283,1,952,4
2,3,2,1,1,3,6,9,1,0,1,3,2,2,1,2,1,50,5,1,1,2008,0,0,0,1,41,1,1,0,1,1,1,1,0,1,0,1,1,2,295,1,8635,1,0,0,213,0,336,0,2001,1948,6,1,1072,672,240,1,1285,5
2,3,2,2,1,2,4,10,2,0,1,4,1,2,3,1,1,90,5,1,1,2010,0,0,0,1,0,1,1,0,4,1,1,1,0,1,0,1,2,4,1768,0,10778,1,0,0,0,0,0,0,1968,1968,8,2,1768,1768,0,0,1768,4
1,2,2,1,1,1,6,8,1,128,1,3,2,2,1,1,1,50,6,1,1,2009,0,0,0,1,0,1,1,0,5,1,1,1,0,3,0,1,1,2,440,0,10440,1,1,0,548,74,0,0,1981,1910,5,1,682,440,440,2,1230,5
2,3,2,1,1,1,1,12,1,0,2,1,1,1,1,1,1,60,6,1,1,2009,0,0,0,1,0,1,1,0,6,1,1,1,0,3,252,1,1,4,448,0,13000,1,1,72,960,0,448,1,1968,1968,8,2,1182,896,509,1,2142,6
1,1,2,1,1,2,1,5,1,0,2,1,2,2,4,1,1,120,5,1,1,2006,0,0,0,1,0,1,1,0,3,1,1,1,0,2,0,1,2,2,36,1,4500,1,0,199,0,0,1201,0,1998,1998,5,2,1337,1237,405,2,1337,6
1,1,2,1,1,2,1,6,1,0,1,1,1,1,1,1,1,20,5,1,1,2008,0,0,0,1,0,1,1,0,10,1,1,1,0,1,0,1,1,3,1530,0,10206,1,0,99,0,144,33,1,2007,2007,6,2,1563,1563,758,3,1563,8
2,2,2,1,1,2,2,12,1,0,1,2,1,2,1,1,1,20,5,1,1,2007,0,0,0,1,0,1,1,0,7,1,3,1,0,1,0,1,1,3,1065,0,8892,2,1,0,0,74,0,0,1960,1960,6,1,1065,1065,461,2,1065,5
1,2,2,1,1,6,4,18,1,0,1,4,1,2,1,1,1,80,5,1,1,2009,0,700,0,1,0,1,1,0,5,1,1,1,0,1,0,1,1,3,384,0,8530,2,1,72,670,120,0,1,1996,1995,7,2,804,384,400,2,1474,7
2,1,1,1,1,1,4,4,1,0,1,4,1,1,1,1,1,60,5,1,1,2006,0,0,0,1,0,1,1,0,4,1,1,1,0,3,0,1,2,4,1288,0,16059,1,1,82,1116,127,0,1,1992,1991,9,2,1301,1288,462,2,2417,8
1,1,1,1,1,1,1,18,1,0,1,1,1,1,1,1,1,60,5,1,1,2009,0,0,0,1,0,1,1,0,3,1,1,1,0,1,0,1,1,3,684,0,11911,3,1,38,876,100,0,1,2005,2005,6,2,684,684,400,2,1560,6
1,1,1,1,1,1,1,6,1,0,1,1,4,1,4,1,1,160,5,1,1,2009,0,0,0,1,0,1,1,0,6,1,2,1,0,3,0,3,1,2,612,0,3951,1,1,234,612,0,0,0,2009,2009,4,2,612,612,528,2,1224,6
2,3,4,2,2,3,5,14,1,156,3,8,3,4,1,1,1,50,2,2,1,2009,513,0,0,1,0,4,1,0,10,1,4,1,0,3,0,2,2,2,1013,0,8470,2,0,0,0,0,0,0,1982,1915,6,1,1013,1013,0,0,1526,3
1,1,2,1,1,2,1,1,1,0,1,1,1,2,1,1,1,20,5,1,1,2007,0,0,0,1,0,1,1,0,8,1,1,1,0,1,0,1,1,3,402,1,8070,1,0,0,0,0,588,0,1995,1994,5,1,990,990,0,0,990,4
5,3,2,1,1,2,6,12,1,0,1,5,1,2,1,1,1,20,5,1,1,2006,0,0,0,1,0,1,1,0,7,1,1,1,0,1,0,1,1,2,0,0,7200,1,0,29,0,0,0,0,1950,1950,4,1,1040,0,420,2,1040,4
2,3,2,1,1,2,4,12,1,0,1,4,1,2,1,1,1,20,3,1,1,2006,0,0,0,1,0,1,1,0,12,1,1,1,0,1,0,2,2,2,635,0,8500,1,0,0,0,0,600,0,1961,1961,6,1,1235,1235,480,2,1235,5
3,1,2,1,1,2,6,3,1,44,2,3,1,2,1,1,1,30,7,1,1,2009,0,0,0,1,0,1,1,0,8,1,1,4,0,1,0,1,1,2,163,1,13360,2,0,0,0,0,713,0,2006,1921,5,1,964,876,432,2,964,5
3,1,2,2,1,7,2,8,2,0,1,2,3,2,2,1,2,190,6,1,1,2007,0,0,1,1,0,1,1,0,11,1,1,1,0,3,99,1,2,4,168,0,7200,1,0,0,1031,0,1046,1,1998,1910,9,2,1260,1214,506,2,2291,6
1,1,2,1,1,1,1,1,1,0,2,1,1,1,1,1,1,60,5,1,1,2007,0,0,0,1,0,1,1,0,5,1,1,1,0,1,0,1,1,3,176,1,9337,2,1,162,881,0,648,0,1997,1997,7,2,905,824,684,2,1786,6
1,2,3,1,1,1,1,18,1,0,2,1,1,2,1,1,1,60,8,1,1,2009,0,480,0,1,0,1,1,0,4,1,1,1,0,3,0,1,1,3,370,0,9765,3,1,63,790,232,310,1,1993,1993,6,2,680,680,420,2,1470,6
1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,20,5,1,1,2006,0,0,0,1,0,1,1,0,8,1,1,1,0,1,0,1,1,3,426,0,10264,2,0,29,0,158,1162,0,1999,1999,6,2,1588,1588,472,2,1588,7
2,3,2,1,3,2,4,16,1,0,1,4,1,2,1,1,1,20,5,1,1,2007,0,0,0,1,0,1,1,0,5,1,1,4,0,1,0,1,2,3,440,1,10921,1,0,0,0,120,520,0,1965,1965,6,1,960,960,432,1,960,4
3,4,2,2,1,2,6,16,1,77,1,3,1,2,1,1,1,30,5,1,1,2010,0,400,0,1,0,1,1,0,5,1,3,1,0,3,0,2,1,2,350,0,10625,1,0,0,0,0,108,0,1950,1920,5,1,835,458,366,1,835,5
2,4,2,1,1,2,5,12,1,0,1,8,1,2,1,1,1,20,5,1,1,2010,0,400,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,3,381,1,9320,2,1,0,0,352,569,0,1959,1959,6,1,1225,950,0,0,1225,4
1,2,2,1,1,2,5,7,1,0,1,8,1,1,1,1,1,20,7,1,1,2010,0,0,0,1,0,1,1,0,2,1,1,1,0,1,0,1,1,3,410,1,10603,2,0,68,0,168,1200,2,2001,1977,6,2,1610,1610,480,2,1610,6
2,3,1,1,1,1,4,13,1,0,1,4,1,1,1,1,1,60,5,1,1,2010,0,0,0,1,0,1,1,0,6,1,1,1,0,1,0,1,1,3,741,0,9206,1,1,46,755,192,0,1,1985,1985,7,2,977,741,476,2,1732,6
